TEAM_ID,TEAM_NAME,BOARD,ADMITTED_YEAR,APPROVED_BY
101,India,BCCI,1926,201
102,Australia,CA,1909,203
103,England,ECB,1909,204
104,South Africa,CSA,1909,205
105,West Indies,WCB,1926,204
106,Pakistan,PCB,1952,206
107,Sri Lanka,SLC,1981,207
108,Bangladesh,BCB,2000,203
109,Afghanistan,ACB,2017,202
110,Zimbabwe,ZC,1992,206
